Link_Text,Link_URL
"
					GBK Memerah Jelang Laga Indonesia Vs Australia                ",https://20.detik.com/detikupdate/20240910-240910112/gbk-memerah-jelang-laga-indonesia-vs-australia
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534380/30-menit-jelang-indonesia-vs-australia-gbk-jadi-lautan-merah
"
					30 Menit Jelang Indonesia Vs Australia, GBK Jadi Lautan Merah                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534380/30-menit-jelang-indonesia-vs-australia-gbk-jadi-lautan-merah
"



",https://sport.detik.com/sepakbola/foto-sepakbola/d-7534307/suporter-timnas-indonesia-mulai-padati-gbk
"
					Suporter Timnas Indonesia Mulai Padati GBK                ",https://sport.detik.com/sepakbola/foto-sepakbola/d-7534307/suporter-timnas-indonesia-mulai-padati-gbk
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534152/indonesia-vs-australia-awas-garuda-socceroos-garang-di-markas-lawan
"
					Indonesia Vs Australia: Awas Garuda, Socceroos Garang di Markas Lawan                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534152/indonesia-vs-australia-awas-garuda-socceroos-garang-di-markas-lawan
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534327/susunan-pemain-indonesia-vs-australia-marselino-starter-haye-cadangan
"
					Susunan Pemain Indonesia Vs Australia: Marselino Starter, Haye Cadangan                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534327/susunan-pemain-indonesia-vs-australia-marselino-starter-haye-cadangan
,https://lapangbola.com/
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534003/psywar-sty-ke-australia-bawa-bawa-ranking-fifa
"
					Psywar STY ke Australia, Bawa-bawa Ranking FIFA?                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534003/psywar-sty-ke-australia-bawa-bawa-ranking-fifa
"



",https://sport.detik.com/raket/d-7534288/hong-kong-open-2024-fikri-daniel-ke-16-besar
"
					Hong Kong Open 2024: Fikri/Daniel ke 16 Besar                ",https://sport.detik.com/raket/d-7534288/hong-kong-open-2024-fikri-daniel-ke-16-besar
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534002/indonesia-vs-australia-graham-arnold-hafal-strategi-garuda
"
					Indonesia Vs Australia: Graham Arnold Hafal Strategi Garuda!                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534002/indonesia-vs-australia-graham-arnold-hafal-strategi-garuda
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534000/start-buruk-australia-tak-anggap-lawan-indonesia-segenting-itu
"
					Start Buruk, Australia Tak Anggap Lawan Indonesia Segenting Itu                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534000/start-buruk-australia-tak-anggap-lawan-indonesia-segenting-itu
"



",https://sport.detik.com/raket/d-7534151/sabar-reza-sedih-singkirkan-hendra-ahsan-di-hong-kong-open-2024
"
					Sabar/Reza Sedih Singkirkan Hendra/Ahsan di Hong Kong Open 2024                ",https://sport.detik.com/raket/d-7534151/sabar-reza-sedih-singkirkan-hendra-ahsan-di-hong-kong-open-2024
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533987/indonesia-vs-australia-socceroos-adaptasi-cepat-dengan-cuaca
